ID,Нэр,Оноо,Хөтөлбөр,letter_grade,above_average
S201,Тэрбиш,77,Программ хангамж,C,True
S202,Эрдэнэ,80,Хиймэл оюун,B,True
S203,Нарантуяа,100,Компьютерийн ухаан,A,True
S204,Чулуун,94,"Санхүү, банк",A,True
S205,Болд,51,"Санхүү, банк",F,False
S206,Сарнай,58,Сэтгэл судлал,F,False
S207,Ану,94,Эдийн засаг,A,True
S208,Туяа,59,Мэдээлэл технологи,F,False
S209,Жаргал,89,Мэдээллийн систем,B,True
S210,Тэрбиш,53,Сэтгэл судлал,F,False
S211,Ану,56,"Санхүү, банк",F,False
S212,Тэмүүжин,100,Хиймэл оюун,A,True
S213,Цэцэг,59,Сэтгэл судлал,F,False
S214,Ану,68,"Санхүү, банк",D,False
S215,Нарантуяа,56,Программ хангамж,F,False
S216,Нарантуяа,59,Программ хангамж,F,False
S217,Цэцэг,62,"Санхүү, банк",D,False
S218,Туяа,60,Эдийн засаг,D,False
S219,Нарантуяа,97,Эдийн засаг,A,True
S220,Баяр,75,Компьютерийн ухаан,C,True
S221,Цолмон,62,"Санхүү, банк",D,False
S222,Батаа,66,Сэтгэл судлал,D,False
S223,Амар,97,Программ хангамж,A,True
S224,Сүрэн,86,Сэтгэл судлал,B,True
S225,Тамир,75,Мэдээллийн систем,C,True
S226,Болд,60,Программ хангамж,D,False
S227,Ганзориг,73,Хиймэл оюун,C,False
S228,Мөнх,80,Программ хангамж,B,True
S229,Нарантуяа,56,Компьютерийн ухаан,F,False
S230,Туяа,50,Компьютерийн ухаан,F,False
S231,Наран,67,Эдийн засаг,D,False
S232,Нарантуяа,99,Эдийн засаг,A,True
S233,Саран,67,Мэдээлэл технологи,D,False
S234,Халиун,74,"Санхүү, банк",C,False
S235,Энхжаргал,97,Программ хангамж,A,True
S236,Жаргал,80,Эдийн засаг,B,True
S237,Лхагва,74,Мэдээллийн систем,C,False
S238,Цолмон,54,"Санхүү, банк",F,False
S239,Наран,68,Компьютерийн ухаан,D,False
S240,Батаа,88,Мэдээллийн систем,B,True
S241,Лхагва,60,Программ хангамж,D,False
S242,Цолмон,83,Мэдээллийн систем,B,True
S243,Баасан,62,"Санхүү, банк",D,False
S244,Тэмүүжин,87,Мэдээлэл технологи,B,True
S245,Алтангэрэл,64,Эдийн засаг,D,False
S246,Лхагва,69,Мэдээлэл технологи,D,False
S247,Энхжаргал,82,Эдийн засаг,B,True
S248,Лхагва,92,Программ хангамж,A,True
S249,Цэцэг,86,Мэдээлэл технологи,B,True
S250,Гэрэл,53,Мэдээллийн систем,F,False
S251,Оюун,77,Компьютерийн ухаан,C,True
S252,Сарангэрэл,86,Программ хангамж,B,True
S253,Эрдэнэ,78,Эдийн засаг,C,True
S254,Сарнай,53,Эдийн засаг,F,False
S255,Халиун,78,Компьютерийн ухаан,C,True
S256,Ганзориг,91,Сэтгэл судлал,A,True
S257,Зориг,90,"Санхүү, банк",A,True
S258,Мөнх,59,Мэдээлэл технологи,F,False
S259,Сарангэрэл,81,Хиймэл оюун,B,True
S260,Цолмон,68,"Санхүү, банк",D,False
S261,Сарнай,53,Эдийн засаг,F,False
S262,Энэбиш,75,Хиймэл оюун,C,True
S263,Ганзориг,68,"Санхүү, банк",D,False
S264,Мөнх,89,Эдийн засаг,B,True
S265,Сарнай,100,Мэдээлэл технологи,A,True
S266,Халиун,66,Хиймэл оюун,D,False
S267,Гэрэл,80,Компьютерийн ухаан,B,True
S268,Тамир,90,Программ хангамж,A,True
S269,Батаа,87,Программ хангамж,B,True
S270,Мөнх,74,Сэтгэл судлал,C,False
S271,Ганзориг,65,Компьютерийн ухаан,D,False
S272,Наран,69,Мэдээлэл технологи,D,False
S273,Амар,51,Мэдээлэл технологи,F,False
S274,Туяа,73,"Санхүү, банк",C,False
S275,Халиун,75,"Санхүү, банк",C,True
S276,Мөнх,72,Хиймэл оюун,C,False
S277,Баттулга,69,Хиймэл оюун,D,False
S278,Чулуун,68,"Санхүү, банк",D,False
S279,Тэмүүжин,91,Эдийн засаг,A,True
S280,Тэмүүжин,58,Эдийн засаг,F,False
S281,Амар,57,Сэтгэл судлал,F,False
S282,Тамир,96,Хиймэл оюун,A,True
S283,Сарнай,68,Мэдээллийн систем,D,False
S284,Тэрбиш,71,Сэтгэл судлал,C,False
S285,Цэцэг,78,Эдийн засаг,C,True
S286,Билгүүн,59,Хиймэл оюун,F,False
S287,Чулуун,62,Программ хангамж,D,False
S288,Жаргал,69,Мэдээллийн систем,D,False
S289,Баяр,80,"Санхүү, банк",B,True
S290,Баттулга,58,Эдийн засаг,F,False
S291,Бат,74,Мэдээллийн систем,C,False
S292,Тэмүүлэн,53,Эдийн засаг,F,False
S293,Тэмүүжин,86,Эдийн засаг,B,True
S294,Цэцэг,95,Мэдээллийн систем,A,True
S295,Бат,55,Хиймэл оюун,F,False
S296,Лхагва,60,Сэтгэл судлал,D,False
S297,Эрдэнэ,96,Эдийн засаг,A,True
S298,Тамир,66,Компьютерийн ухаан,D,False
S299,Сарнай,60,Эдийн засаг,D,False
S300,Мөнх,58,"Санхүү, банк",F,False
S301,Зориг,57,Мэдээлэл технологи,F,False
S302,Ганзориг,66,Компьютерийн ухаан,D,False
S303,Туяа,88,Хиймэл оюун,B,True
S304,Тамир,90,Мэдээллийн систем,A,True
S305,Болор,80,Компьютерийн ухаан,B,True
S306,Туяа,62,Эдийн засаг,D,False
S307,Энэбиш,61,Хиймэл оюун,D,False
S308,Тамир,66,Эдийн засаг,D,False
S309,Сарангэрэл,52,Хиймэл оюун,F,False
S310,Туяа,76,Компьютерийн ухаан,C,True
S311,Гэрэл,51,Мэдээллийн систем,F,False
S312,Чулуун,52,Мэдээллийн систем,F,False
S313,Алтангэрэл,85,"Санхүү, банк",B,True
S314,Одбаяр,51,Программ хангамж,F,False
S315,Баттулга,86,Программ хангамж,B,True
S316,Тэрбиш,66,Компьютерийн ухаан,D,False
S317,Энэбиш,63,Эдийн засаг,D,False
S318,Батаа,74,Мэдээлэл технологи,C,False
S319,Цэцэг,66,Компьютерийн ухаан,D,False
S320,Амар,72,Хиймэл оюун,C,False
S321,Энхжаргал,72,Мэдээлэл технологи,C,False
S322,Эрдэнэ,63,Компьютерийн ухаан,D,False
S323,Болд,90,"Санхүү, банк",A,True
S324,Зориг,50,Хиймэл оюун,F,False
S325,Болд,66,Компьютерийн ухаан,D,False
S326,Амгалан,89,Эдийн засаг,B,True
S327,Наран,92,Мэдээллийн систем,A,True
S328,Эрдэнэ,54,Компьютерийн ухаан,F,False
S329,Цолмон,99,Программ хангамж,A,True
S330,Цолмон,88,Сэтгэл судлал,B,True
S331,Гэрэл,75,Мэдээллийн систем,C,True
S332,Цолмон,87,Эдийн засаг,B,True
S333,Халиун,50,Сэтгэл судлал,F,False
S334,Баяр,65,"Санхүү, банк",D,False
S335,Лхагва,56,"Санхүү, банк",F,False
S336,Сарангэрэл,93,Эдийн засаг,A,True
S337,Тамир,91,Мэдээллийн систем,A,True
S338,Тэрбиш,77,Мэдээлэл технологи,C,True
S339,Болор,66,Эдийн засаг,D,False
S340,Сарангэрэл,81,Программ хангамж,B,True
S341,Сарангэрэл,68,Хиймэл оюун,D,False
S342,Мөнх,50,Хиймэл оюун,F,False
S343,Жаргал,97,"Санхүү, банк",A,True
S344,Билгүүн,65,Сэтгэл судлал,D,False
S345,Зориг,57,Программ хангамж,F,False
S346,Жаргал,65,Хиймэл оюун,D,False
S347,Болор,79,Хиймэл оюун,C,True
S348,Билгүүн,78,Мэдээллийн систем,C,True
S349,Хулан,87,Сэтгэл судлал,B,True
S350,Болор,61,Компьютерийн ухаан,D,False
S351,Сүрэн,76,"Санхүү, банк",C,True
S352,Гэрэл,56,Сэтгэл судлал,F,False
S353,Нарантуяа,78,Компьютерийн ухаан,C,True
S354,Гэрэл,93,Мэдээллийн систем,A,True
S355,Баттулга,73,Хиймэл оюун,C,False
S356,Саран,79,"Санхүү, банк",C,True
S357,Цолмон,92,Хиймэл оюун,A,True
S358,Амар,55,Эдийн засаг,F,False
S359,Сарангэрэл,86,Компьютерийн ухаан,B,True
S360,Гэрэл,69,Мэдээлэл технологи,D,False
S361,Сарнай,98,Программ хангамж,A,True
S362,Билгүүн,73,Сэтгэл судлал,C,False
S363,Энхжаргал,92,Мэдээллийн систем,A,True
S364,Алтангэрэл,71,Хиймэл оюун,C,False
S365,Бат,78,Хиймэл оюун,C,True
S366,Лхагва,95,Хиймэл оюун,A,True
S367,Энэбиш,75,Эдийн засаг,C,True
S368,Оюун,61,Мэдээллийн систем,D,False
S369,Туяа,57,Программ хангамж,F,False
S370,Туяа,55,Программ хангамж,F,False
S371,Дорж,87,Программ хангамж,B,True
S372,Одбаяр,96,Сэтгэл судлал,A,True
S373,Алтангэрэл,85,"Санхүү, банк",B,True
S374,Ганзориг,79,"Санхүү, банк",C,True
S375,Ганзориг,88,Мэдээллийн систем,B,True
S376,Лхагва,94,Компьютерийн ухаан,A,True
S377,Зориг,73,Мэдээлэл технологи,C,False
S378,Бат,77,Хиймэл оюун,C,True
S379,Билгүүн,84,Программ хангамж,B,True
S380,Болд,73,Эдийн засаг,C,False
S381,Цэцэг,76,Сэтгэл судлал,C,True
S382,Ану,75,Сэтгэл судлал,C,True
S383,Цолмон,50,Хиймэл оюун,F,False
S384,Чулуун,82,Мэдээлэл технологи,B,True
S385,Хулан,90,Сэтгэл судлал,A,True
S386,Ану,97,"Санхүү, банк",A,True
S387,Баттулга,99,Программ хангамж,A,True
S388,Тэмүүлэн,81,Программ хангамж,B,True
S389,Цолмон,99,Программ хангамж,A,True
S390,Батаа,97,Компьютерийн ухаан,A,True
S391,Ану,69,Программ хангамж,D,False
S392,Чулуун,95,Мэдээлэл технологи,A,True
S393,Амар,90,Программ хангамж,A,True
S394,Одбаяр,87,Мэдээллийн систем,B,True
S395,Болд,64,Хиймэл оюун,D,False
S396,Тэрбиш,50,Эдийн засаг,F,False
S397,Билгүүн,76,Хиймэл оюун,C,True
S398,Нарантуяа,95,Программ хангамж,A,True
S399,Баасан,55,Компьютерийн ухаан,F,False
S400,Баяр,51,Программ хангамж,F,False
S401,Жаргал,52,Компьютерийн ухаан,F,False
S402,Тэмүүжин,74,"Санхүү, банк",C,False
S403,Туяа,53,Мэдээлэл технологи,F,False
S404,Наран,62,Мэдээлэл технологи,D,False
S405,Одбаяр,70,Программ хангамж,C,False
S406,Баяр,95,Эдийн засаг,A,True
S407,Тэмүүлэн,56,Компьютерийн ухаан,F,False
S408,Зориг,69,"Санхүү, банк",D,False
S409,Тэмүүжин,53,Сэтгэл судлал,F,False
S410,Жаргал,78,Мэдээллийн систем,C,True
S411,Амар,83,Хиймэл оюун,B,True
S412,Батаа,98,Эдийн засаг,A,True
S413,Саран,83,Мэдээлэл технологи,B,True
S414,Алтангэрэл,50,Хиймэл оюун,F,False
S415,Энэбиш,75,Сэтгэл судлал,C,True
S416,Мөнх,51,Мэдээллийн систем,F,False
S417,Чулуун,78,Сэтгэл судлал,C,True
S418,Тамир,73,Мэдээллийн систем,C,False
S419,Тэмүүлэн,89,Эдийн засаг,B,True
S420,Энэбиш,51,Хиймэл оюун,F,False
S421,Сарнай,93,Мэдээлэл технологи,A,True
S422,Одбаяр,76,Хиймэл оюун,C,True
S423,Лхагва,87,Сэтгэл судлал,B,True
S424,Баттулга,56,Мэдээлэл технологи,F,False
S425,Тэрбиш,86,Программ хангамж,B,True
S426,Жаргал,89,"Санхүү, банк",B,True
S427,Энхжаргал,80,Мэдээллийн систем,B,True
S428,Саран,82,Мэдээллийн систем,B,True
S429,Туяа,89,Хиймэл оюун,B,True
S430,Хулан,83,Программ хангамж,B,True
S431,Эрдэнэ,54,Хиймэл оюун,F,False
S432,Гэрэл,60,Хиймэл оюун,D,False
S433,Батаа,65,"Санхүү, банк",D,False
S434,Цэцэг,89,"Санхүү, банк",B,True
S435,Амар,64,Хиймэл оюун,D,False
S436,Цэцэг,94,Компьютерийн ухаан,A,True
S437,Цэцэг,60,Компьютерийн ухаан,D,False
S438,Билгүүн,86,Сэтгэл судлал,B,True
S439,Болор,61,Сэтгэл судлал,D,False
S440,Сүрэн,72,Хиймэл оюун,C,False
S441,Батаа,90,Компьютерийн ухаан,A,True
S442,Наран,58,Мэдээлэл технологи,F,False
S443,Нарантуяа,57,Программ хангамж,F,False
S444,Сарнай,86,Мэдээллийн систем,B,True
S445,Ану,95,Хиймэл оюун,A,True
S446,Баяр,69,Эдийн засаг,D,False
S447,Цолмон,89,Программ хангамж,B,True
S448,Тэрбиш,80,Программ хангамж,B,True
S449,Дорж,96,Хиймэл оюун,A,True
S450,Тамир,70,Компьютерийн ухаан,C,False
S451,Цолмон,85,Программ хангамж,B,True
S452,Халиун,81,Мэдээллийн систем,B,True
S453,Нарантуяа,69,Программ хангамж,D,False
S454,Баасан,64,Эдийн засаг,D,False
S455,Чулуун,57,Мэдээлэл технологи,F,False
S456,Болор,56,Компьютерийн ухаан,F,False
S457,Энхжаргал,50,Хиймэл оюун,F,False
S458,Туяа,78,"Санхүү, банк",C,True
S459,Оюун,58,Сэтгэл судлал,F,False
S460,Алтангэрэл,54,Программ хангамж,F,False
S461,Сарнай,62,Мэдээлэл технологи,D,False
S462,Баттулга,92,Мэдээллийн систем,A,True
S463,Баяр,51,Компьютерийн ухаан,F,False
S464,Цэцэг,52,Эдийн засаг,F,False
S465,Тэмүүлэн,80,"Санхүү, банк",B,True
S466,Эрдэнэ,73,Мэдээлэл технологи,C,False
S467,Баттулга,67,Мэдээлэл технологи,D,False
S468,Халиун,70,Компьютерийн ухаан,C,False
S469,Мөнх,50,Мэдээллийн систем,F,False
S470,Баттулга,54,Мэдээллийн систем,F,False
S471,Лхагва,91,Эдийн засаг,A,True
S472,Алтангэрэл,82,"Санхүү, банк",B,True
S473,Баяр,74,Хиймэл оюун,C,False
S474,Хулан,71,Компьютерийн ухаан,C,False
S475,Бат,51,Сэтгэл судлал,F,False
S476,Зориг,53,Сэтгэл судлал,F,False
S477,Нарантуяа,91,Эдийн засаг,A,True
S478,Болд,51,Сэтгэл судлал,F,False
S479,Сарнай,58,"Санхүү, банк",F,False
S480,Сарнай,89,Программ хангамж,B,True
S481,Чулуун,63,Программ хангамж,D,False
S482,Гэрэл,61,Мэдээлэл технологи,D,False
S483,Баттулга,81,Хиймэл оюун,B,True
S484,Одбаяр,50,Сэтгэл судлал,F,False
S485,Чулуун,86,"Санхүү, банк",B,True
S486,Лхагва,50,Мэдээллийн систем,F,False
S487,Лхагва,80,Сэтгэл судлал,B,True
S488,Энэбиш,61,Мэдээллийн систем,D,False
S489,Жаргал,62,Хиймэл оюун,D,False
S490,Цолмон,65,Мэдээллийн систем,D,False
S491,Тамир,96,"Санхүү, банк",A,True
S492,Бат,75,"Санхүү, банк",C,True
S493,Баяр,73,Эдийн засаг,C,False
S494,Халиун,68,Компьютерийн ухаан,D,False
S495,Цэцэг,68,Мэдээллийн систем,D,False
S496,Болд,58,Компьютерийн ухаан,F,False
S497,Тэмүүжин,69,Программ хангамж,D,False
S498,Эрдэнэ,71,Компьютерийн ухаан,C,False
S499,Мөнх,79,Мэдээлэл технологи,C,True
S500,Халиун,51,Хиймэл оюун,F,False
