
ID,Нэр,Оноо,Хөтөлбөр
S146,Бат,66,Компьютерийн ухаан
S147,Тэрбиш,66,Программ хангамж
S148,Батаа,54,Мэдээлэл технологи
S149,Болд,67,Хиймэл оюун
S150,Тэрбиш,81,"Санхүү, банк"
S151,Амгалан,59,Сэтгэл судлал
S152,Ану,55,"Санхүү, банк"
S153,Лхагва,63,Программ хангамж
S154,Сүрэн,99,Компьютерийн ухаан
S155,Нарантуяа,97,"Санхүү, банк"
S156,Халиун,86,Хиймэл оюун
S157,Туяа,50,"Санхүү, банк"
S158,Чулуун,73,Мэдээллийн систем
S159,Гэрэл,74,Мэдээлэл технологи
S160,Дорж,64,"Санхүү, банк"
S161,Батаа,84,Мэдээллийн систем
S162,Алтангэрэл,98,Хиймэл оюун
S163,Лхагва,92,Эдийн засаг
S164,Эрдэнэ,74,Компьютерийн ухаан
S165,Энэбиш,69,Мэдээллийн систем
S166,Алтангэрэл,69,Сэтгэл судлал
S167,Тамир,85,Мэдээллийн систем
S168,Туяа,54,Мэдээлэл технологи
S169,Ану,82,Программ хангамж
S170,Амгалан,99,Эдийн засаг
S171,Эрдэнэ,87,Программ хангамж
S172,Энхжаргал,86,Компьютерийн ухаан
S173,Болор,71,Программ хангамж
S174,Баасан,89,Компьютерийн ухаан
S175,Эрдэнэ,80,Сэтгэл судлал
S176,Тэмүүжин,55,Программ хангамж
S177,Тэмүүлэн,79,Мэдээллийн систем
S178,Наран,65,Сэтгэл судлал
S179,Цолмон,90,Мэдээлэл технологи
S180,Одбаяр,64,Сэтгэл судлал
S181,Энэбиш,61,Мэдээлэл технологи
S182,Болор,99,Сэтгэл судлал
S183,Цолмон,82,Программ хангамж
S184,Жаргал,70,Мэдээллийн систем
S185,Сүрэн,70,Мэдээлэл технологи
S186,Гэрэл,100,Компьютерийн ухаан
S187,Хулан,100,Компьютерийн ухаан
S188,Билгүүн,61,Компьютерийн ухаан
S189,Лхагва,84,Мэдээллийн систем
S190,Сүрэн,74,Эдийн засаг
S191,Энхжаргал,98,"Санхүү, банк"
S192,Алтангэрэл,74,Программ хангамж
S193,Болор,87,Хиймэл оюун
S194,Халиун,70,Программ хангамж
S195,Цолмон,93,Хиймэл оюун
S196,Амар,78,Компьютерийн ухаан
S197,Наран,50,Хиймэл оюун
S198,Жаргал,91,Сэтгэл судлал
S199,Баасан,61,"Санхүү, банк"
S200,Оюун,94,Сэтгэл судлал
S201,Тэрбиш,77,Программ хангамж
S202,Эрдэнэ,80,Хиймэл оюун
S203,Нарантуяа,100,Компьютерийн ухаан
S204,Чулуун,94,"Санхүү, банк"
S205,Болд,51,"Санхүү, банк"
S206,Сарнай,58,Сэтгэл судлал
S207,Ану,94,Эдийн засаг
S208,Туяа,59,Мэдээлэл технологи
S209,Жаргал,89,Мэдээллийн систем
S210,Тэрбиш,53,Сэтгэл судлал
S211,Ану,56,"Санхүү, банк"
S212,Тэмүүжин,100,Хиймэл оюун
S213,Цэцэг,59,Сэтгэл судлал
S214,Ану,68,"Санхүү, банк"
S215,Нарантуяа,56,Программ хангамж
S216,Нарантуяа,59,Программ хангамж
S217,Цэцэг,62,"Санхүү, банк"
S218,Туяа,60,Эдийн засаг
S219,Нарантуяа,97,Эдийн засаг
S220,Баяр,75,Компьютерийн ухаан
S221,Цолмон,62,"Санхүү, банк"
S222,Батаа,66,Сэтгэл судлал
S223,Амар,97,Программ хангамж
S224,Сүрэн,86,Сэтгэл судлал
S225,Тамир,75,Мэдээллийн систем
S226,Болд,60,Программ хангамж
S227,Ганзориг,73,Хиймэл оюун
S228,Мөнх,80,Программ хангамж
S229,Нарантуяа,56,Компьютерийн ухаан
S230,Туяа,50,Компьютерийн ухаан
S231,Наран,67,Эдийн засаг
S232,Нарантуяа,99,Эдийн засаг
S233,Саран,67,Мэдээлэл технологи
S234,Халиун,74,"Санхүү, банк"
S235,Энхжаргал,97,Программ хангамж
S236,Жаргал,80,Эдийн засаг
S237,Лхагва,74,Мэдээллийн систем
S238,Цолмон,54,"Санхүү, банк"
S239,Наран,68,Компьютерийн ухаан
S240,Батаа,88,Мэдээллийн систем
S241,Лхагва,60,Программ хангамж
S242,Цолмон,83,Мэдээллийн систем
S243,Баасан,62,"Санхүү, банк"
S244,Тэмүүжин,87,Мэдээлэл технологи
S245,Алтангэрэл,64,Эдийн засаг
S246,Лхагва,69,Мэдээлэл технологи
S247,Энхжаргал,82,Эдийн засаг
S248,Лхагва,92,Программ хангамж
S249,Цэцэг,86,Мэдээлэл технологи
S250,Гэрэл,53,Мэдээллийн систем
S251,Оюун,77,Компьютерийн ухаан
S252,Сарангэрэл,86,Программ хангамж
S253,Эрдэнэ,78,Эдийн засаг
S254,Сарнай,53,Эдийн засаг
S255,Халиун,78,Компьютерийн ухаан
S256,Ганзориг,91,Сэтгэл судлал
S257,Зориг,90,"Санхүү, банк"
S258,Мөнх,59,Мэдээлэл технологи
S259,Сарангэрэл,81,Хиймэл оюун
S260,Цолмон,68,"Санхүү, банк"
S261,Сарнай,53,Эдийн засаг
S262,Энэбиш,75,Хиймэл оюун
S263,Ганзориг,68,"Санхүү, банк"
S264,Мөнх,89,Эдийн засаг
S265,Сарнай,100,Мэдээлэл технологи
S266,Халиун,66,Хиймэл оюун
S267,Гэрэл,80,Компьютерийн ухаан
S268,Тамир,90,Программ хангамж
S269,Батаа,87,Программ хангамж
S270,Мөнх,74,Сэтгэл судлал
S271,Ганзориг,65,Компьютерийн ухаан
S272,Наран,69,Мэдээлэл технологи
S273,Амар,51,Мэдээлэл технологи
S274,Туяа,73,"Санхүү, банк"
S275,Халиун,75,"Санхүү, банк"
S276,Мөнх,72,Хиймэл оюун
S277,Баттулга,69,Хиймэл оюун
S278,Чулуун,68,"Санхүү, банк"
S279,Тэмүүжин,91,Эдийн засаг
S280,Тэмүүжин,58,Эдийн засаг
S281,Амар,57,Сэтгэл судлал
S282,Тамир,96,Хиймэл оюун
S283,Сарнай,68,Мэдээллийн систем
S284,Тэрбиш,71,Сэтгэл судлал
S285,Цэцэг,78,Эдийн засаг
S286,Билгүүн,59,Хиймэл оюун
S287,Чулуун,62,Программ хангамж
S288,Жаргал,69,Мэдээллийн систем
S289,Баяр,80,"Санхүү, банк"
S290,Баттулга,58,Эдийн засаг
S291,Бат,74,Мэдээллийн систем
S292,Тэмүүлэн,53,Эдийн засаг
S293,Тэмүүжин,86,Эдийн засаг
S294,Цэцэг,95,Мэдээллийн систем
S295,Бат,55,Хиймэл оюун
S296,Лхагва,60,Сэтгэл судлал
S297,Эрдэнэ,96,Эдийн засаг
S298,Тамир,66,Компьютерийн ухаан
S299,Сарнай,60,Эдийн засаг
S300,Мөнх,58,"Санхүү, банк"
S301,Зориг,57,Мэдээлэл технологи
S302,Ганзориг,66,Компьютерийн ухаан
S303,Туяа,88,Хиймэл оюун
S304,Тамир,90,Мэдээллийн систем
S305,Болор,80,Компьютерийн ухаан
S306,Туяа,62,Эдийн засаг
S307,Энэбиш,61,Хиймэл оюун
S308,Тамир,66,Эдийн засаг
S309,Сарангэрэл,52,Хиймэл оюун
S310,Туяа,76,Компьютерийн ухаан
S311,Гэрэл,51,Мэдээллийн систем
S312,Чулуун,52,Мэдээллийн систем
S313,Алтангэрэл,85,"Санхүү, банк"
S314,Одбаяр,51,Программ хангамж
S315,Баттулга,86,Программ хангамж
S316,Тэрбиш,66,Компьютерийн ухаан
S317,Энэбиш,63,Эдийн засаг
S318,Батаа,74,Мэдээлэл технологи
S319,Цэцэг,66,Компьютерийн ухаан
S320,Амар,72,Хиймэл оюун
S321,Энхжаргал,72,Мэдээлэл технологи
S322,Эрдэнэ,63,Компьютерийн ухаан
S323,Болд,90,"Санхүү, банк"
S324,Зориг,50,Хиймэл оюун
S325,Болд,66,Компьютерийн ухаан
S326,Амгалан,89,Эдийн засаг
S327,Наран,92,Мэдээллийн систем
S328,Эрдэнэ,54,Компьютерийн ухаан
S329,Цолмон,99,Программ хангамж
S330,Цолмон,88,Сэтгэл судлал
S331,Гэрэл,75,Мэдээллийн систем
S332,Цолмон,87,Эдийн засаг
S333,Халиун,50,Сэтгэл судлал
S334,Баяр,65,"Санхүү, банк"
S335,Лхагва,56,"Санхүү, банк"
S336,Сарангэрэл,93,Эдийн засаг
S337,Тамир,91,Мэдээллийн систем
S338,Тэрбиш,77,Мэдээлэл технологи
S339,Болор,66,Эдийн засаг
S340,Сарангэрэл,81,Программ хангамж
S341,Сарангэрэл,68,Хиймэл оюун
S342,Мөнх,50,Хиймэл оюун
S343,Жаргал,97,"Санхүү, банк"
S344,Билгүүн,65,Сэтгэл судлал
S345,Зориг,57,Программ хангамж
S346,Жаргал,65,Хиймэл оюун
S347,Болор,79,Хиймэл оюун
S348,Билгүүн,78,Мэдээллийн систем
S349,Хулан,87,Сэтгэл судлал
S350,Болор,61,Компьютерийн ухаан
S351,Сүрэн,76,"Санхүү, банк"
S352,Гэрэл,56,Сэтгэл судлал
S353,Нарантуяа,78,Компьютерийн ухаан
S354,Гэрэл,93,Мэдээллийн систем
S355,Баттулга,73,Хиймэл оюун
S356,Саран,79,"Санхүү, банк"
S357,Цолмон,92,Хиймэл оюун
S358,Амар,55,Эдийн засаг
S359,Сарангэрэл,86,Компьютерийн ухаан
S360,Гэрэл,69,Мэдээлэл технологи
S361,Сарнай,98,Программ хангамж
S362,Билгүүн,73,Сэтгэл судлал
S363,Энхжаргал,92,Мэдээллийн систем
S364,Алтангэрэл,71,Хиймэл оюун
S365,Бат,78,Хиймэл оюун
S366,Лхагва,95,Хиймэл оюун
S367,Энэбиш,75,Эдийн засаг
S368,Оюун,61,Мэдээллийн систем
S369,Туяа,57,Программ хангамж
S370,Туяа,55,Программ хангамж
S371,Дорж,87,Программ хангамж
S372,Одбаяр,96,Сэтгэл судлал
S373,Алтангэрэл,85,"Санхүү, банк"
S374,Ганзориг,79,"Санхүү, банк"
S375,Ганзориг,88,Мэдээллийн систем
S376,Лхагва,94,Компьютерийн ухаан
S377,Зориг,73,Мэдээлэл технологи
S378,Бат,77,Хиймэл оюун
S379,Билгүүн,84,Программ хангамж
S380,Болд,73,Эдийн засаг
S381,Цэцэг,76,Сэтгэл судлал
S382,Ану,75,Сэтгэл судлал
S383,Цолмон,50,Хиймэл оюун
S384,Чулуун,82,Мэдээлэл технологи
S385,Хулан,90,Сэтгэл судлал
S386,Ану,97,"Санхүү, банк"
S387,Баттулга,99,Программ хангамж
S388,Тэмүүлэн,81,Программ хангамж
S389,Цолмон,99,Программ хангамж
S390,Батаа,97,Компьютерийн ухаан
S391,Ану,69,Программ хангамж
S392,Чулуун,95,Мэдээлэл технологи
S393,Амар,90,Программ хангамж
S394,Одбаяр,87,Мэдээллийн систем
S395,Болд,64,Хиймэл оюун
S396,Тэрбиш,50,Эдийн засаг
S397,Билгүүн,76,Хиймэл оюун
S398,Нарантуяа,95,Программ хангамж
S399,Баасан,55,Компьютерийн ухаан
S400,Баяр,51,Программ хангамж
S401,Жаргал,52,Компьютерийн ухаан
S402,Тэмүүжин,74,"Санхүү, банк"
S403,Туяа,53,Мэдээлэл технологи
S404,Наран,62,Мэдээлэл технологи
S405,Одбаяр,70,Программ хангамж
S406,Баяр,95,Эдийн засаг
S407,Тэмүүлэн,56,Компьютерийн ухаан
S408,Зориг,69,"Санхүү, банк"
S409,Тэмүүжин,53,Сэтгэл судлал
S410,Жаргал,78,Мэдээллийн систем
S411,Амар,83,Хиймэл оюун
S412,Батаа,98,Эдийн засаг
S413,Саран,83,Мэдээлэл технологи
S414,Алтангэрэл,50,Хиймэл оюун
S415,Энэбиш,75,Сэтгэл судлал
S416,Мөнх,51,Мэдээллийн систем
S417,Чулуун,78,Сэтгэл судлал
S418,Тамир,73,Мэдээллийн систем
S419,Тэмүүлэн,89,Эдийн засаг
S420,Энэбиш,51,Хиймэл оюун
S421,Сарнай,93,Мэдээлэл технологи
S422,Одбаяр,76,Хиймэл оюун
S423,Лхагва,87,Сэтгэл судлал
S424,Баттулга,56,Мэдээлэл технологи
S425,Тэрбиш,86,Программ хангамж
S426,Жаргал,89,"Санхүү, банк"
S427,Энхжаргал,80,Мэдээллийн систем
S428,Саран,82,Мэдээллийн систем
S429,Туяа,89,Хиймэл оюун
S430,Хулан,83,Программ хангамж
S431,Эрдэнэ,54,Хиймэл оюун
S432,Гэрэл,60,Хиймэл оюун
S433,Батаа,65,"Санхүү, банк"
S434,Цэцэг,89,"Санхүү, банк"
S435,Амар,64,Хиймэл оюун
S436,Цэцэг,94,Компьютерийн ухаан
S437,Цэцэг,60,Компьютерийн ухаан
S438,Билгүүн,86,Сэтгэл судлал
S439,Болор,61,Сэтгэл судлал
S440,Сүрэн,72,Хиймэл оюун
S441,Батаа,90,Компьютерийн ухаан
S442,Наран,58,Мэдээлэл технологи
S443,Нарантуяа,57,Программ хангамж
S444,Сарнай,86,Мэдээллийн систем
S445,Ану,95,Хиймэл оюун
S446,Баяр,69,Эдийн засаг
S447,Цолмон,89,Программ хангамж
S448,Тэрбиш,80,Программ хангамж
S449,Дорж,96,Хиймэл оюун
S450,Тамир,70,Компьютерийн ухаан
S451,Цолмон,85,Программ хангамж
S452,Халиун,81,Мэдээллийн систем
S453,Нарантуяа,69,Программ хангамж
S454,Баасан,64,Эдийн засаг
S455,Чулуун,57,Мэдээлэл технологи
S456,Болор,56,Компьютерийн ухаан
S457,Энхжаргал,50,Хиймэл оюун
S458,Туяа,78,"Санхүү, банк"
S459,Оюун,58,Сэтгэл судлал
S460,Алтангэрэл,54,Программ хангамж
S461,Сарнай,62,Мэдээлэл технологи
S462,Баттулга,92,Мэдээллийн систем
S463,Баяр,51,Компьютерийн ухаан
S464,Цэцэг,52,Эдийн засаг
S465,Тэмүүлэн,80,"Санхүү, банк"
S466,Эрдэнэ,73,Мэдээлэл технологи
S467,Баттулга,67,Мэдээлэл технологи
S468,Халиун,70,Компьютерийн ухаан
S469,Мөнх,50,Мэдээллийн систем
S470,Баттулга,54,Мэдээллийн систем
S471,Лхагва,91,Эдийн засаг
S472,Алтангэрэл,82,"Санхүү, банк"
S473,Баяр,74,Хиймэл оюун
S474,Хулан,71,Компьютерийн ухаан
S475,Бат,51,Сэтгэл судлал
S476,Зориг,53,Сэтгэл судлал
S477,Нарантуяа,91,Эдийн засаг
S478,Болд,51,Сэтгэл судлал
S479,Сарнай,58,"Санхүү, банк"
S480,Сарнай,89,Программ хангамж
S481,Чулуун,63,Программ хангамж
S482,Гэрэл,61,Мэдээлэл технологи
S483,Баттулга,81,Хиймэл оюун
S484,Одбаяр,50,Сэтгэл судлал
S485,Чулуун,86,"Санхүү, банк"
S486,Лхагва,50,Мэдээллийн систем
S487,Лхагва,80,Сэтгэл судлал
S488,Энэбиш,61,Мэдээллийн систем
S489,Жаргал,62,Хиймэл оюун
S490,Цолмон,65,Мэдээллийн систем
S491,Тамир,96,"Санхүү, банк"
S492,Бат,75,"Санхүү, банк"
S493,Баяр,73,Эдийн засаг
S494,Халиун,68,Компьютерийн ухаан
S495,Цэцэг,68,Мэдээллийн систем
S496,Болд,58,Компьютерийн ухаан
S497,Тэмүүжин,69,Программ хангамж
S498,Эрдэнэ,71,Компьютерийн ухаан
S499,Мөнх,79,Мэдээлэл технологи
S500,Халиун,51,Хиймэл оюун
